skin_condition,food_type,food_name,reason,key_nutrients,is_vegan,allergen
주름,추천,브로콜리,비타민C가 콜라겐 합성을 직접 촉진하고 항산화 작용을 합니다,비타민C·설포라판,True,
주름,추천,달걀흰자,프롤린과 글리신이 콜라겐 생성의 원료가 됩니다,프롤린·글리신,False,달걀
주름,추천,아몬드,비타민E가 자유라디칼로부터 피부를 보호해 노화를 늦춥니다,비타민E·셀레늄,True,견과류
주름,추천,파프리카,비타민C 함량이 높아 콜라겐 합성에 직접 기여합니다,비타민C·카로티노이드,True,
주름,추천,녹차,EGCG가 항산화 작용으로 피부 노화를 억제합니다,EGCG·카테킨,True,
색소침착,추천,레몬,비타민C가 멜라닌 생성을 억제하고 피부를 밝혀줍니다,비타민C·구연산,True,
색소침착,추천,토마토,리코펜과 비타민C가 색소침착을 억제하고 피부톤을 균일하게 합니다,리코펜·비타민C,True,
색소침착,추천,키위,고함량 비타민C가 멜라닌 티로시나제 효소를 억제합니다,비타민C·비타민K,True,
색소침착,추천,딸기,비타민C와 엘라그산이 미백과 항산화에 효과적입니다,비타민C·엘라그산,True,
색소침착,추천,석류,엘라그산이 멜라닌 생성을 억제하고 피부 미백에 도움을 줍니다,엘라그산·비타민C,True,
색소침착,추천,브로콜리,글루코라파닌이 피부 톤 개선과 색소침착 예방에 효과적입니다,글루코라파닌·비타민C,True,
색소침착,추천,파프리카,비타민C가 풍부해 피부 미백과 색소 분해에 도움을 줍니다,비타민C·베타카로틴,True,
색소침착,추천,당근,베타카로틴이 피부를 균일하게 하고 노출 후 회복을 돕습니다,베타카로틴·비타민A,True,
모공,추천,녹차,카테킨이 모공을 수축시키고 피지 분비를 조절합니다,카테킨·EGCG,True,
모공,추천,호박씨,아연이 피지 분비를 조절하고 모공을 세정하는 데 도움을 줍니다,아연·오메가-6,True,견과류
모공,추천,고등어,오메가-3가 염증성 모공 트러블을 줄여줍니다,오메가-3·비타민D,False,
모공,추천,토마토,리코펜이 모공 산화를 막고 피부 조직을 탄탄하게 합니다,리코펜·비타민C,True,
모공,추천,귀리,베타글루칸이 모공 염증을 줄이고 피부 결을 개선합니다,베타글루칸·아연,True,
모공,추천,파슬리,비타민C와 클로로필이 모공을 청결하게 하고 피지를 조절합니다,비타민C·클로로필,True,
모공,추천,레몬,구연산이 각질을 제거하고 모공을 좁히는 데 효과적입니다,비타민C·구연산,True,
모공,추천,브로콜리,설포라판이 모공 염증과 피지 과분비를 억제합니다,설포라판·비타민C,True,
